STATION_ID,ABBREVIATION,FUNCTION,YEAR,MONTH,DECADE,VALUE
RIAI99PA,HATMN,MIN,2002,1,0, 
RIAI99PA,HATMN,MIN,2002,2,0, 
RIAI99PA,HATMN,MIN,2002,3,0, 
RIAI99PA,HATMN,MIN,2002,4,0, 
RIAI99PA,HATMN,MIN,2002,5,0, 
RIAI99PA,HATMN,MIN,2002,6,0, 
RIAI99PA,HATMN,MIN,2002,7,0, 
RIAI99PA,HATMN,MIN,2002,8,0, 
RIAI99PA,HATMN,MIN,2002,9,0, 
RIAI99PA,HATMN,MIN,2002,10,0, 
RIAI99PA,HATMN,MIN,2002,11,0, 
RIAI99PA,HATMN,MIN,2002,12,0, 
RIAI99PA,HATMN,MIN,2003,1,0, 
RIAI99PA,HATMN,MIN,2003,2,0, 
RIAI99PA,HATMN,MIN,2003,3,0, 
RIAI99PA,HATMN,MIN,2003,4,0, 
RIAI99PA,HATMN,MIN,2003,5,0, 
RIAI99PA,HATMN,MIN,2003,6,0, 
RIAI99PA,HATMN,MIN,2003,7,0, 
RIAI99PA,HATMN,MIN,2003,8,0, 
RIAI99PA,HATMN,MIN,2003,9,0, 
RIAI99PA,HATMN,MIN,2003,10,0, 
RIAI99PA,HATMN,MIN,2003,11,0, 
RIAI99PA,HATMN,MIN,2003,12,0, 
RIAI99PA,HATMN,MIN,2004,1,0, 
RIAI99PA,HATMN,MIN,2004,2,0, 
RIAI99PA,HATMN,MIN,2004,3,0,-16.9
RIAI99PA,HATMN,MIN,2004,4,0,-8.7
RIAI99PA,HATMN,MIN,2004,5,0, 
RIAI99PA,HATMN,MIN,2004,6,0,0.7
RIAI99PA,HATMN,MIN,2004,7,0,6.7
RIAI99PA,HATMN,MIN,2004,8,0,2.7
RIAI99PA,HATMN,MIN,2004,9,0,1.4
RIAI99PA,HATMN,MIN,2004,10,0,-5.8
RIAI99PA,HATMN,MIN,2004,11,0, 
RIAI99PA,HATMN,MIN,2004,12,0,-8.7
RIAI99PA,HATMN,MIN,2005,1,0, 
